# Date  Temperature (in degrees C)
01-06-2020 17:53  20.8
01-06-2020 19:47  20.5
02-06-2020 00:21  20.9
02-06-2020 08:21  20.7
02-06-2020 14:58  20.9
02-06-2020 20:01  20.5
02-06-2020 22:58  20.7
03-06-2020 07:33  20.7
03-06-2020 14:06  20.3
03-06-2020 22:14  20.0
04-06-2020 09:16  20.7
04-06-2020 14:45  20.5
04-06-2020 18:33  20.4
04-06-2020 23:14  19.2
05-06-2020 08:08  19.0
05-06-2020 11:57  19.0
05-06-2020 19:02  19.5
06-06-2020 00:28  19.9
06-06-2020 08:16  19.6
06-06-2020 13:11  19.5
06-06-2020 15:36  19.4
06-06-2020 18:57  19.8
06-06-2020 23:13  19.7
07-06-2020 09:41  19.2
07-06-2020 14:51  19.0
07-06-2020 19:51  19.9
07-06-2020 23:37  19.4
08-06-2020 08:55  19.8
08-06-2020 13:41  19.1
08-06-2020 18:55  19.5
08-06-2020 22:23  19.5
09-06-2020 07:46  19.5
09-06-2020 12:41  19.9
09-06-2020 20:30  19.9
09-06-2020 23:54  19.1
10-06-2020 09:50  19.6
10-06-2020 15:00  19.2
10-06-2020 17:27  19.2
10-06-2020 23:07  19.5
11-06-2020 11:00  19.5
11-06-2020 15:04  19.8
11-06-2020 22:16  19.5
12-06-2020 07:31  19.8
12-06-2020 13:11  19.4
12-06-2020 19:21  19.9
12-06-2020 22:27  19.4
13-06-2020 09:02  19.1
13-06-2020 14:12  20.2
13-06-2020 20:07  20.4
13-06-2020 23:13  20.7
14-06-2020 10:12  20.0
14-06-2020 14:52  20.7
14-06-2020 22:21  20.4
15-06-2020 08:41  20.9
15-06-2020 13:32  20.7
15-06-2020 16:45  20.4
15-06-2020 23:07  20.0
16-06-2020 08:42  20.0
16-06-2020 11:42  20.4
16-06-2020 21:14  20.6
17-06-2020 08:26  20.0
17-06-2020 12:23  20.2
17-06-2020 15:48  20.4
17-06-2020 21:34  20.2
18-06-2020 07:54  20.6
18-06-2020 13:11  20.6
18-06-2020 18:08  20.9
18-06-2020 22:51  20.2
19-06-2020 07:33  20.3
19-06-2020 15:25  20.6
19-06-2020 18:36  20.7
19-06-2020 23:03  20.6
20-06-2020 08:26  20.9
20-06-2020 19:16  20.5
20-06-2020 22:17  20.5
21-06-2020 10:35  20.4
21-06-2020 15:41  20.7
21-06-2020 20:47  20.1
22-06-2020 00:08  20.7
22-06-2020 06:45  20.1
22-06-2020 15:24  20.9
22-06-2020 18:09  20.9
22-06-2020 22:02  20.7
23-06-2020 08:09  20.4
23-06-2020 12:02  20.4
23-06-2020 17:54  20.7
23-06-2020 22:09  20.6
24-06-2020 08:11  20.3
24-06-2020 12:47  20.5
24-06-2020 18:12  20.7
24-06-2020 23:07  20.8
25-06-2020 09:05  21.2
25-06-2020 12:26  21.6
25-06-2020 20:42  21.6
25-06-2020 23:11  21.0
26-06-2020 08:27  21.5
26-06-2020 14:14  21.2
26-06-2020 18:58  21.2
26-06-2020 22:37  22.0
27-06-2020 09:15  22.5
27-06-2020 13:11  22.5
27-06-2020 16:24  22.7
27-06-2020 22:09  21.7
28-06-2020 07:37  21.5
28-06-2020 11:20  21.5
28-06-2020 19:40  21.2
28-06-2020 23:12  21.8
29-06-2020 08:25: 21.0
29-06-2020 12:51  20.8
29-06-2020 18:17  20.5
29-06-2020 22:59  20.0
30-06-2020 08:33  20.1
30-06-2020 15:32  20.4
30-06-2020 21:25  20.5
01-07-2020 07:46  20.7
01-07-2020 12:47  20.8
01-07-2020 20:00  20.0
01-07-2020 23:21  20.1
02-07-2020 07:43  20.0
02-07-2020 18:30  20.1
02-07-2020 23:49  20.7
03-07-2020 07:54  20.2
03-07-2020 15:59  20.9
03-07-2020 23:22  20.5
04-07-2020 08:47  20.9
04-07-2020 14:43  20.2
04-07-2020 17:25  21.5
04-07-2020 11:16  21.6
05-07-2020 07:41  21.9
05-07-2020 15:23  22.2
06-07-2020 16:24  18.8
07-07-2020 13:17  17.6
08-07-2020 22:15  17.9
09-07-2020 21:44  19.0
12-07-2020 17:03  18.3
14-07-2020 19:44  20.0
15-07-2020 12:30  18.0
15-07-2020 16:28  18.4
15-07-2020 21:14  19.7
16-07-2020 12:52  19.2
16-07-2020 16:43  19.4
