# Date Time  Temperature (in degrees C)
05-12-2020 15:15  17.8
05-12-2020 17:12  17.9
05-12-2020 22:53  17.7
06-12-2020 09:12  16.0
06-12-2020 15:45  16.7
06-12-2020 20:18  17.9
06-12-2020 23:10  17.2
07-12-2020 08:24  17.4
07-12-2020 12:51  17.1
07-12-2020 17:21  17.4
07-12-2020 22:20  17.5
08-12-2020 07:50  17.0
08-12-2020 13:10  17.8
08-12-2020 18:46  17.7
08-12-2020 23:34  17.6
09-12-2020 08:21  17.2
09-12-2020 13:18  17.8
09-12-2020 19:54  17.1
09-12-2020 23:18  17.2
10-12-2020 07:56  17.0
10-12-2020 11:36  17.0
10-12-2020 18:53  17.2
10-12-2020 23:07  17.2
11-12-2020 08:07  16.3
11-12-2020 12:52  17.7
11-12-2020 19:21  17.7
11-12-2020 22:25  17.9
12-12-2020 09:34  16.5
12-12-2020 15:06  17.5
12-12-2020 23:35  17.4
13-12-2020 08:22  17.2
13-12-2020 14:03  17.3
13-12-2020 20:27  17.6
14-12-2020 08:22  17.7
14-12-2020 12:53  17.2
14-12-2020 21:09  17.5
14-12-2020 23:18  17.5
15-12-2020 08:30  17.9
15-12-2020 12:56  17.9
15-12-2020 20:10  17.0
