# Brewferm hydrometer temperature conversion table.
#       SG -->
# Temp   1.010   1.030   1.040   1.050   1.060   1.070   1.080   1.090
 2.00   -0.002  -0.002  -0.003  -0.003  -0.003  -0.003  -0.004  -0.004
 4.00   -0.002  -0.002  -0.003  -0.003  -0.003  -0.003  -0.003  -0.003
10.00   -0.002  -0.002  -0.002  -0.002  -0.002  -0.002  -0.002  -0.002
15.00   -0.001  -0.001  -0.001  -0.001  -0.001  -0.001  -0.001  -0.001
20.00    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
25.00    0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001
30.00    0.003   0.003   0.003   0.003   0.004   0.004   0.004   0.004
35.00    0.004   0.004   0.004   0.004   0.004   0.005   0.005   0.005
40.00    0.005   0.005   0.005   0.006   0.006   0.006   0.006   0.006
45.00    0.006   0.007   0.007   0.007   0.007   0.008   0.008   0.008
50.00    0.007   0.008   0.008   0.008   0.009   0.009   0.009   0.010
